name,tax_class,rule_class,overridden,is_stealer,breach_date,pwn_count
OperationEndgame,service,service,FALSE,FALSE,2024-05-30,16466858
OrderSnapp,service,service,FALSE,FALSE,2020-06-29,1304447
OrdineAvvocatiDiRoma,service,service,FALSE,FALSE,2019-05-07,41960
Otelier,service,service,FALSE,FALSE,2024-07-01,436855
OVH,service,service,FALSE,FALSE,2015-05-01,452899
OwnedCore,service,service,FALSE,FALSE,2013-08-01,880331
Oxfam,service,service,FALSE,FALSE,2021-01-20,1834006
PaddyPower,service,service,FALSE,FALSE,2010-10-25,590954
Pampling,service,service,FALSE,FALSE,2020-01-04,383468
Pandabuy,service,service,FALSE,FALSE,2024-03-31,1348407
ParagonCheats,service,service,FALSE,FALSE,2021-05-22,188089
ParkMobile,service,service,FALSE,FALSE,2021-03-21,20949825
Patreon,service,service,FALSE,FALSE,2015-10-01,2330382
PayAsUGym,service,service,FALSE,FALSE,2016-12-15,400260
PayHere,service,service,FALSE,FALSE,2022-03-27,1580249
PaySystemTech,service,service,FALSE,FALSE,2022-04-29,1410764
Paytm,service,service,FALSE,FALSE,2020-08-30,3395101
pcTattletale,service,service,FALSE,FALSE,2024-05-25,138751
Peatix,service,service,FALSE,FALSE,2019-01-20,4227907
Pemiblanc,combolist,combolist,FALSE,FALSE,2018-04-02,110964206
PeoplesEnergy,service,service,FALSE,FALSE,2020-12-16,358822
PetFlow,service,service,FALSE,FALSE,2017-12-09,990919
CERTPolandPhish,service,service,FALSE,FALSE,2023-02-25,67943
Phoenix,service,service,FALSE,FALSE,2021-06-05,74776
PhoneHouse,service,service,FALSE,FALSE,2021-04-08,5223350
PHPFreaks,service,service,FALSE,FALSE,2015-10-27,173891
PipingRock,service,service,FALSE,FALSE,2024-04-24,2103100
PixelFederation,service,service,FALSE,FALSE,2013-12-04,38108
Pixlr,service,service,FALSE,FALSE,2020-10-07,1906808
piZap,service,service,FALSE,FALSE,2017-12-07,41817893
PlanetCalypso,service,service,FALSE,FALSE,2019-07-01,62261
PlanetIce,service,service,FALSE,FALSE,2023-01-14,240488
Playbook,service,service,FALSE,FALSE,2020-10-19,50538
PlayCyberGames,service,service,FALSE,FALSE,2023-08-09,3681753
Plex,service,service,FALSE,FALSE,2015-07-02,327314
PlutoTV,service,service,FALSE,FALSE,2018-10-12,3225080
Pokebip,service,service,FALSE,FALSE,2015-07-28,657001
PokemonCreed,service,service,FALSE,FALSE,2014-08-08,116465
PokemonNegro,service,service,FALSE,FALSE,2016-10-01,830155
PoliceOne,service,service,FALSE,FALSE,2014-07-01,709926
PolishCredentials,combolist,combolist,FALSE,FALSE,2023-05-29,1204870
Poshmark,service,service,FALSE,FALSE,2018-05-16,36395491
Powerbot,service,service,FALSE,FALSE,2014-09-01,503501
PPCGeeks,service,service,FALSE,FALSE,2016-08-19,492518
PreenMe,aggregator,aggregator,FALSE,FALSE,2020-05-25,236105
ProctorU,service,service,FALSE,FALSE,2020-06-26,444453
ProgrammingForums,service,service,FALSE,FALSE,2015-12-01,707432
Promo,service,service,FALSE,FALSE,2020-06-22,14610585
Promofarma,service,service,FALSE,FALSE,2019-08-03,1277761
PropTiger,service,service,FALSE,FALSE,2018-01-30,2156921
Protemps,service,service,FALSE,FALSE,2021-10-04,49591
PS3Hax,service,service,FALSE,FALSE,2015-07-01,447410
PSPISO,service,service,FALSE,FALSE,2015-09-25,1274070
PSX-Scene,service,service,FALSE,FALSE,2015-02-01,341118
BVD,combolist,combolist,FALSE,FALSE,2021-08-19,27917714
Qakbot,combolist,combolist,FALSE,TRUE,2023-08-29,6431319
QatarNationalBank,service,service,FALSE,FALSE,2015-07-01,88678
QIP,service,service,FALSE,FALSE,2011-06-01,26183992
QuantumBooter,service,service,FALSE,FALSE,2014-03-18,48592
QuestionPro,service,service,FALSE,FALSE,2022-05-21,22229637
Quidd,service,service,FALSE,FALSE,2019-07-01,3805863
QuinStreet,service,service,FALSE,FALSE,2015-12-14,4907802
R2-2017,service,service,FALSE,FALSE,2017-01-01,1023466
R2Games,service,service,FALSE,FALSE,2015-11-01,22281337
RaidForums,service,service,FALSE,FALSE,2020-09-24,478604
RailYatri,service,service,FALSE,FALSE,2022-12-26,23209732
Rambler,service,service,FALSE,FALSE,2014-03-01,91436280
Rankwatch,combolist,combolist,FALSE,FALSE,2016-11-19,7445067
Raychat,service,service,FALSE,FALSE,2021-01-31,938981
RbxRocks,service,service,FALSE,FALSE,2018-08-06,149958
ReadNovel,service,service,FALSE,FALSE,2019-05-01,22424472
RealEstateMogul,service,service,FALSE,FALSE,2016-09-06,307768
RealDudesInc,service,service,FALSE,FALSE,2022-10-22,101543
RedDoorz,service,service,FALSE,FALSE,2020-09-04,5890277
RedLineStealer,combolist,combolist,FALSE,TRUE,2021-12-05,441657
BlueSnapRegpack,aggregator,aggregator,FALSE,FALSE,2016-05-20,104977
Reincubate,service,service,FALSE,FALSE,2017-05-11,616146
RentoMojo,service,service,FALSE,FALSE,2023-04-15,2185697
RepublicanPartyOfTexas,service,service,FALSE,FALSE,2021-09-11,72596
RetinaX,service,service,FALSE,FALSE,2017-02-23,71153
Reverb-Nation,service,service,FALSE,FALSE,2014-01-01,7040725
Rightbiz,service,service,FALSE,FALSE,2023-07-09,65376
RiverCityMedia,combolist,combolist,FALSE,FALSE,2017-01-01,393430309
Robinhood,service,service,FALSE,FALSE,2021-11-03,5003937
Roblox,aggregator,aggregator,FALSE,FALSE,2016-07-31,52458
RobloxDeveloperConference,service,service,FALSE,FALSE,2020-12-18,3943
Roll20,service,service,FALSE,FALSE,2018-12-26,3994436
Romwe,service,service,FALSE,FALSE,2018-06-01,19531820
RosebuttBoard,service,service,FALSE,FALSE,2016-05-09,107303
RoyalEnfield,aggregator,aggregator,FALSE,FALSE,2019-01-01,420873
RussianAmerica,service,service,FALSE,FALSE,2017-01-01,182717
SalvadoranCitizens,service,service,FALSE,FALSE,2024-04-02,946989
SaverSpy,combolist,combolist,FALSE,FALSE,2018-09-18,2457420
SCDailyPhoneSpamList,combolist,combolist,FALSE,FALSE,2015-04-14,32939105
Scentbird,service,service,FALSE,FALSE,2020-06-22,5814988
schenkYOU,service,service,FALSE,FALSE,2024-08-15,237349
Scholastic,service,service,FALSE,FALSE,2025-01-08,4247768
SchoolDistrict42,service,service,FALSE,FALSE,2023-01-15,18850
Seedpeer,service,service,FALSE,FALSE,2015-07-12,281924
SeniorDating,service,service,FALSE,FALSE,2024-11-23,765517
Sephora,service,service,FALSE,FALSE,2017-01-09,780073
ServerPact,service,service,FALSE,FALSE,2016-01-01,73587
SevenRooms,service,service,FALSE,FALSE,2022-12-11,1205385
Shadi,service,service,FALSE,FALSE,2016-07-09,2021984
Shadow,service,service,FALSE,FALSE,2023-09-28,543295
ShareThis,service,service,FALSE,FALSE,2018-07-09,40960499
SHEIN,service,service,FALSE,FALSE,2018-06-01,39086762
Shitexpress,service,service,FALSE,FALSE,2022-08-08,23817
ShockGore,service,service,FALSE,FALSE,2020-08-11,73944
ShoeZone,service,service,FALSE,FALSE,2024-06-28,46140
ShopBack,service,service,FALSE,FALSE,2020-09-17,20529819
ShopperPlus,service,service,FALSE,FALSE,2020-09-14,878290
ShortEdition,service,service,FALSE,FALSE,2021-06-26,505466
Shotbow,service,service,FALSE,FALSE,2016-05-09,1052753
SirHurt,service,service,FALSE,FALSE,2021-04-23,90655
SitePoint,service,service,FALSE,FALSE,2020-06-20,1021790
SkTorrent,service,service,FALSE,FALSE,2016-02-19,117070
Slickwraps,service,service,FALSE,FALSE,2020-02-16,857611
SlideTeam,service,service,FALSE,FALSE,2021-04-06,1464271
Smogon,service,service,FALSE,FALSE,2017-09-10,386489
Snail,service,service,FALSE,FALSE,2015-03-14,1410899
Snapchat,service,service,FALSE,FALSE,2014-01-01,4609615
SoarGames,service,service,FALSE,FALSE,2019-12-16,4774445
SocialEngineered,service,service,FALSE,FALSE,2019-06-13,89392
SIAE,service,service,FALSE,FALSE,2018-11-03,14609
Sonicbids,service,service,FALSE,FALSE,2019-12-30,751700
Sony,service,service,FALSE,FALSE,2011-06-02,37103
Soundwave,service,service,FALSE,FALSE,2015-07-16,130705
SpecialKSpamList,combolist,combolist,FALSE,FALSE,2015-10-07,30741620
Speedio,aggregator,aggregator,FALSE,FALSE,2024-12-24,27501041
Sphero,service,service,FALSE,FALSE,2023-09-09,832255
Spirol,service,service,FALSE,FALSE,2014-02-22,55622
Sport2000,service,service,FALSE,FALSE,2024-04-18,3189643
Spoutible,aggregator,aggregator,FALSE,FALSE,2024-01-31,207114
SpyFone,aggregator,aggregator,FALSE,FALSE,2018-08-16,44109
Spytech,service,service,FALSE,FALSE,2024-06-04,5645
StalkerOnline,service,service,FALSE,FALSE,2020-05-05,1385472
Staminus,service,service,FALSE,FALSE,2016-03-11,26815
StarNet,service,service,FALSE,FALSE,2015-02-26,139395
Start,service,service,FALSE,FALSE,2021-06-01,7455386
StarTribune,service,service,FALSE,FALSE,2019-10-10,2192857
TelegramStealerLogs,combolist,combolist,FALSE,TRUE,2024-07-18,26105473
StealerLogsJan2025,combolist,combolist,FALSE,TRUE,2025-01-13,71039833
SterKinekor,service,service,FALSE,FALSE,2017-03-09,1619544
StockX,service,service,FALSE,FALSE,2019-07-26,6840339
StoryBird,service,service,FALSE,FALSE,2015-08-07,1047200
Straffic,aggregator,aggregator,FALSE,FALSE,2020-02-14,48580249
Stratfor,service,service,FALSE,FALSE,2011-12-24,859777
StreamCraft,service,service,FALSE,FALSE,2020-07-06,1772620
StreetEasy,service,service,FALSE,FALSE,2016-06-28,988230
Stripchat,service,service,FALSE,FALSE,2021-11-05,10001355
StrongholdKingdoms,service,service,FALSE,FALSE,2018-07-04,5187305
SubaGames,service,service,FALSE,FALSE,2016-11-01,6137666
SumoTorrent,service,service,FALSE,FALSE,2014-06-21,285191
SundryFiles,service,service,FALSE,FALSE,2022-01-21,274461
SuperDraft,service,service,FALSE,FALSE,2024-10-27,300187
SuperVPNGeckoVPN,service,service,FALSE,FALSE,2021-02-25,20339937
SurveyLama,service,service,FALSE,FALSE,2024-02-01,4426879
SvenskaMagic,service,service,FALSE,FALSE,2015-07-01,30327
SweClockers,service,service,FALSE,FALSE,2015-04-01,254867
Switch,service,service,FALSE,FALSE,2024-10-01,5397
SwordFantasy,service,service,FALSE,FALSE,2017-01-20,2690657
Swvl,service,service,FALSE,FALSE,2020-06-23,4195918
T2,service,service,FALSE,FALSE,2024-04-17,94584
TaiLieu,service,service,FALSE,FALSE,2019-11-24,7327477
Tamodo,service,service,FALSE,FALSE,2020-02-28,494945
Tangerine,service,service,FALSE,FALSE,2024-02-18,243462
Taobao,service,service,FALSE,FALSE,2012-01-01,21149008
TAPAirPortugal,service,service,FALSE,FALSE,2022-08-25,6083479
Tappware,service,service,FALSE,FALSE,2024-04-23,94734
Taringa,service,service,FALSE,FALSE,2017-08-01,27971100
Solomid,service,service,FALSE,FALSE,2014-12-22,442166
Technic,service,service,FALSE,FALSE,2018-11-30,265410
Teespring,service,service,FALSE,FALSE,2020-04-01,8234193
TRAI,service,service,FALSE,FALSE,2015-04-27,107776
Teracod,service,service,FALSE,FALSE,2016-05-28,97151
Terravision,service,service,FALSE,FALSE,2023-02-01,2075625
Tesco,service,service,FALSE,FALSE,2014-02-12,2239
TGBUS,service,service,FALSE,FALSE,2017-09-01,10371766
TheCandidBoard,service,service,FALSE,FALSE,2015-09-03,178201
TheClubPenguinExperience,service,service,FALSE,FALSE,2024-10-14,6342
TheFappening,service,service,FALSE,FALSE,2015-12-01,179030
TheFlyOnTheWall,service,service,FALSE,FALSE,2017-12-31,84011
HalloweenSpot,service,service,FALSE,FALSE,2019-09-27,10653
TheHeritageFoundation,service,service,FALSE,FALSE,2024-07-09,72004
KodiFoundation,service,service,FALSE,FALSE,2023-02-16,400635
ThePostMillennial,service,service,FALSE,FALSE,2024-05-02,56973345
TheRealWorld,service,service,FALSE,FALSE,2024-11-15,324382
TheGradCafe,service,service,FALSE,FALSE,2023-02-26,310975
TheTVDB,service,service,FALSE,FALSE,2017-11-21,181871
Thingiverse,service,service,FALSE,FALSE,2020-10-13,228102
ThisHabboForum,service,service,FALSE,FALSE,2014-01-01,612414
Tianya,service,service,FALSE,FALSE,2011-12-26,29020808
Tibber,service,service,FALSE,FALSE,2024-11-10,50002
Ticketcounter,service,service,FALSE,FALSE,2021-02-22,1921722
Ticketek,service,service,FALSE,FALSE,2024-05-31,17643173
Ticketfly,service,service,FALSE,FALSE,2018-05-31,26151608
Tigo,service,service,FALSE,FALSE,2023-03-31,700394
TNAFlix,service,service,FALSE,FALSE,2022-06-01,1374344
Tokopedia,service,service,FALSE,FALSE,2020-04-17,71443698
ToonDoo,service,service,FALSE,FALSE,2019-08-21,6002694
TorrentInvites,service,service,FALSE,FALSE,2013-12-12,352120
Toumei,service,service,FALSE,FALSE,2023-10-18,76682
Tout,service,service,FALSE,FALSE,2014-09-11,652683
Tracki,service,service,FALSE,FALSE,2024-08-15,372557
Traderie,service,service,FALSE,FALSE,2022-09-24,364898
