country,legislature,term,leg_start_year,row_count,n_unique_emails,person_count_legistype,ltype,url,cc,leg_start_date,lastmod,cc3,pop2024,lastmod_year
Sierra-Leone,Parliament,Fourth Parliament of the Second Republic,2012,124,0,124,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/9a75c94fb3f01a45e5616242dec9743ba96f137f/data/Sierra_Leone/Parliament/term-2-4.csv,SL,2012-12-07,1528387224,SLE,8977972.0,2018
Switzerland,National Council,37. Legislatur,1963,227,0,1238,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/898fba2ccb74f27a070f7a09f129dbdd1108dffd/data/Switzerland/National_Council/term-37.csv,CH,1963-12-02,1557745323,CHE,8900261.0,2019
Switzerland,National Council,44. Legislatur,1991,220,0,1238,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/26378093b64ad025be5c2be0caf6de9b806828fe/data/Switzerland/National_Council/term-44.csv,CH,1991-11-25,1557745323,CHE,8900261.0,2019
Switzerland,National Council,45. Legislatur,1995,224,0,1238,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/26378093b64ad025be5c2be0caf6de9b806828fe/data/Switzerland/National_Council/term-45.csv,CH,1995-12-04,1557745323,CHE,8900261.0,2019
Switzerland,National Council,49. Legislatur,2011,228,0,1238,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/898fba2ccb74f27a070f7a09f129dbdd1108dffd/data/Switzerland/National_Council/term-49.csv,CH,2011-12-05,1557745323,CHE,8900261.0,2019
Switzerland,National Council,48. Legislatur,2007,221,0,1238,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/898fba2ccb74f27a070f7a09f129dbdd1108dffd/data/Switzerland/National_Council/term-48.csv,CH,2007-12-03,1557745323,CHE,8900261.0,2019
Switzerland,National Council,50. Legislatur,2015,225,1,1238,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/898fba2ccb74f27a070f7a09f129dbdd1108dffd/data/Switzerland/National_Council/term-50.csv,CH,2015-11-30,1557745323,CHE,8900261.0,2019
Switzerland,National Council,41. Legislatur,1979,210,0,1238,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/00f747192c4a5fdb3d54ec2b7efe50f503834772/data/Switzerland/National_Council/term-41.csv,CH,1979-11-26,1557745323,CHE,8900261.0,2019
Switzerland,National Council,43. Legislatur,1987,214,0,1238,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/00f747192c4a5fdb3d54ec2b7efe50f503834772/data/Switzerland/National_Council/term-43.csv,CH,1987-11-30,1557745323,CHE,8900261.0,2019
Switzerland,National Council,42. Legislatur,1983,212,0,1238,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/00f747192c4a5fdb3d54ec2b7efe50f503834772/data/Switzerland/National_Council/term-42.csv,CH,1983-11-28,1557745323,CHE,8900261.0,2019
