Country Name,cc3,Series Name,Series Code,2024 [YR2024],region,EU,politician,civil_servants
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,103683,,,,
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,94816,,,,
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84904,,,,
Andorra,AND,"Population, total",SP.POP.TOTL,80341,,,,
Dominica,DMA,"Population, total",SP.POP.TOTL,73368,,,,
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,69885,,,,
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,53444,,,,
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,50025,,,,
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,47847,,,,
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,46431,,,,
American Samoa,ASM,"Population, total",SP.POP.TOTL,43544,,,,
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,42415,,,,
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,39822,,,,
Monaco,MCO,"Population, total",SP.POP.TOTL,36157,,,,
San Marino,SMR,"Population, total",SP.POP.TOTL,33614,,,,
Gibraltar,GIB,"Population, total",SP.POP.TOTL,32718,,,,
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,31763,,,,
Palau,PLW,"Population, total",SP.POP.TOTL,18051,,,,
Nauru,NRU,"Population, total",SP.POP.TOTL,12884,,,,
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11478,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,
Last Updated: 07/01/2024,,,,,,,,
